filename,rmse,chroma,mel,tonnetz,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
03-01-01-01-01-01-01.wav,0.002256859,0.598800361,0.003609839,-0.01116731,-697.9841919,55.22848892,0.323863,12.77537823,7.396147251,0.866223872,-3.550275803,-2.82833147,-11.30553246,-2.524926662,0.496104538,-2.722926378,1.645800352,-3.431964159,0.140356421,1.073159456,-4.355671883,-1.583771229,-1.593008518,-0.659361184,neutral
03-01-01-01-01-02-01.wav,0.002419589,0.57845217,0.004188114,-0.011025548,-693.0697632,55.73456955,-1.919739246,16.40899658,8.449355125,0.220735967,-1.738341808,-4.931290627,-11.98182106,-0.993780255,0.494106829,-2.29689765,0.678700209,-2.93932128,-0.450768054,0.73422873,-4.824006081,-0.677381098,-2.233056068,0.827009201,neutral
03-01-01-01-02-01-01.wav,0.002810254,0.587585211,0.005796769,9.24E-05,-691.7701416,58.35064697,-0.165160105,13.95212555,5.053323269,1.489326,-2.397429228,-5.059064865,-10.63800335,-3.344196796,0.264549643,-2.529107332,1.548611879,-3.132302761,-2.285049677,1.1795367,-5.222143173,-2.828035116,-0.169574931,0.328943551,neutral
03-01-01-01-02-02-01.wav,0.002617975,0.573246658,0.005324445,-0.00736146,-685.237915,56.23669434,2.453111887,13.56665611,6.70194912,3.341493368,-1.895052314,-6.673816681,-10.67163277,-2.946319818,0.895643592,-1.20359993,0.246569276,-2.463891029,-1.434935927,2.133514643,-4.64772892,-1.760953546,-0.356996477,-0.365474164,neutral
03-01-02-01-01-01-01.wav,0.00165381,0.561083913,0.001986946,-0.010340179,-727.3179321,62.76440048,2.751275063,15.47325611,7.763114929,2.330714226,-3.641682148,-3.367343903,-10.11307716,-4.470085144,0.639894307,-2.74565649,0.198219255,-2.933763266,-0.750607371,1.924178123,-5.790614605,-0.396636069,-1.509362936,-1.227151036,calm
03-01-02-01-01-02-01.wav,0.001752699,0.594368577,0.00217602,0.002058337,-707.5534668,67.09773254,1.9093647,11.53098869,9.399661064,1.415026665,-4.764855862,-4.333333492,-8.645217896,-4.472897053,1.429520726,-2.048402309,-0.518560529,-3.154830694,-1.87421906,1.409091234,-5.194605827,-1.879914165,-1.06016171,-1.154804468,calm
03-01-02-01-02-01-01.wav,0.002620992,0.568407357,0.003914205,-0.007303736,-697.4038696,65.51379395,0.525357068,14.03812122,5.55494976,3.29545188,-1.740744472,-4.380755424,-9.062699318,-4.166158676,1.589582324,-1.251473784,1.058001995,-4.150174141,1.130167365,0.466851026,-6.626172543,-2.313127041,-0.395002663,-1.412090778,calm
03-01-02-01-02-02-01.wav,0.002670506,0.561751246,0.004596514,-0.008571041,-698.8539429,69.10643005,0.725411236,14.09073448,7.961054802,2.46377492,-0.994342268,-5.34583807,-8.234460831,-4.035144806,0.647650123,-1.339194775,1.241420865,-3.243601799,0.268661559,1.521419883,-5.777012825,-1.537541628,-0.757979333,-0.729111731,calm
03-01-02-02-01-01-01.wav,0.001501286,0.59039849,0.001340882,0.000146151,-734.3849487,70.98158264,3.789530277,14.32481384,8.859694481,2.308804989,-4.110329628,-2.409554243,-6.710662842,-4.011647224,1.644351959,0.43918857,-0.52450645,-3.327777863,-0.188461855,0.86448878,-2.210990429,-2.192018032,-0.717927635,1.406384706,calm
03-01-02-02-01-02-01.wav,0.001612661,0.566464484,0.001583772,-0.004499794,-698.0933228,67.79179382,-0.900857031,12.33658981,6.449859619,1.020394564,-4.993831158,-5.584002495,-8.369481087,-4.441401958,2.250739098,-1.0461272,-1.518406153,-4.27684021,-0.500402451,-0.487734854,-4.399425507,-1.856362581,-1.112915754,0.095366724,calm
